,Date,User,Tweet,Label
62,2022-12-10 04:02:54+00:00,jaditau_id,"Ambu Anne Gugat Cerai Dedi Mulyadi, Simak! 8 Rahasia Agar Kamu Terhindar Perceraian Rumah Tangga 
https://t.co/r5iT3zrvoR",None
63,2022-12-10 04:02:02+00:00,antaranews,Dedi Mulyadi inisiatif relokasi keluarga korban longsor di Purwakarta https://t.co/Vb7mTil5N0,None
64,2022-12-10 04:00:02+00:00,21BeritaTerkini,Dedi Mulyadi inisiatif relokasi keluarga korban longsor di Purwakarta https://t.co/36HU3fCAqQ,None
65,2022-12-10 03:30:48+00:00,sinarjabar_com,"Dedi Mulyadi Dijodohkan dengan Bupati Karawang, Teh Celli dan Ambu Anne Silaturahmi dengan Sosok Ini
⬇️
https://t.co/32LXr12hZS

#sinarjabar #faktual #kritis #jabar #jawabarat  #dedimulyadi #bupatikarawang #tehcelli #ambuanne #silatutahmi

@cellicaNurrach @DediMulyadi71",None
66,2022-12-10 02:26:01+00:00,45Sidikjari,Dedi Mulyadi dan Ketua DPRD Kalang Kabut Dengar Pernyataan Bupati Purwakarta Soal Utang DBH Desa https://t.co/igxYJM9Zx7,None
67,2022-12-10 01:53:54+00:00,FelixSGL1,"@Damarandii Sama aja kek Jabar kalo RK ga maju makin sengit lagi kontestasi. Dedi Mulyadi terkuat, tapi yang lain pasti nunjukkin kader terbaiknya gitu apalagi PKS yang puasa kekuasaan 5 tahun. Tapi DKI lebih rumit, Sahroni aja blom tentu kuat, Ariza yang tadinya tinggi aja udah turun lagi.",None
68,2022-12-09 23:33:32+00:00,pikiran_rakyat,"Bantah Tuduhan KDRT dari Ambu Anne, Dedi Mulyadi Justru Beberkan Fakta Mengejutkan: Kita Tidak Menuduh https://t.co/tbfEVWilQ4 https://t.co/fl2smvgMjE",None
69,2022-12-09 19:54:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,None
70,2022-12-09 16:33:03+00:00,Pwk_Info,"Purwakarta: Kang Dedi Mulyadi Telanjangi Kebijakan Anggaran Istrinya Memimpin Purwakarta: APBD Naik, Pembangunan Turun [INFOPURWAKARTA] https://t.co/dX3mdtQKh1",None
71,2022-12-09 14:10:59+00:00,Disways_Bekasi,"Dedi Mulyadi : Saya Biayai dan Branding Anne jadi Bupati Purwakarta 
 https://t.co/2pmJBoeBSn",None
72,2022-12-09 14:10:09+00:00,dndtirani,"Nama Bupati Purwakarta dan Dedi Mulyadi Kian Populer Jelang Pemilu 2024 | 
Jokowi Ngajeng Cebong Lebay Kaesang Lemas Pisang Gedang Daddies Ketua MPR Ngajeng Pitha Tipis Netherlands #FIFAWorldCup #JumatBerkah #AniesPresiden2024 #FarofaDaGKayNoMultishow https://t.co/CcO8j5OhhA",None
73,2022-12-09 14:06:36+00:00,dndtirani,"Kang Dedi Mulyadi Gelisah Kelakuan Ambu Anne Kini Sering ke Dukun: 'Itu Bukan Tradisi Kami' | 
Jokowi Ngajeng Cebong Lebay Kaesang Lemas Pisang Gedang  Ketua MPR Ngajeng Pitha Tipis Netherlands #FIFAWorldCup #JumatBerkah #AniesPresiden2024 #asgariucret https://t.co/y5jAoV8aK0",None
74,2022-12-09 10:34:32+00:00,viewjabar,Dedi Mulyadi Ultimatum Orang-orang yang Melingkari Bupati Purwakarta Anne Ratna Mustika https://t.co/aER3Tlwweg,None
75,2022-12-09 08:29:55+00:00,hanoman83036595,"Sosok Wanita Cantik Ini Dijodohkan dengan Kang Dedi Mulyadi, Bupati Karawang Terus Disebut https://t.co/qeha1bgWbo",None
76,2022-12-09 08:15:03+00:00,Golkar_News,"Inilah 10 anggota DPR RI Fraksi Partai Golkar yang paling banyak diberitakan dalam kurun periode bulan November 2022.
#PartaiGolkar #Golkarpedia
#AirlanggaHartarto #BambangSoesatyo #DediMulyadi https://t.co/v5wK4kdjI6",None
77,2022-12-09 08:08:09+00:00,mataberitatv,Bupati Karawang Dijodohkan Netizen ke Mantan Bupati Purwakarta Dedi Mulyadi via @mataberitatv https://t.co/JrGkJ345Ra,None
78,2022-12-09 08:05:55+00:00,BMendut,"FAKTA BARU ANNE RATNA MUSTIKA, DEDI MULYADI SEBUT ISTRINYA SERING KE PAN... https://t.co/LIqfJWYhIO lewat @YouTube",None
79,2022-12-09 08:05:21+00:00,BMendut,"SOSOK BUPATI KARAWANG dr CELLICA NURACHDIANA, CALON ISTRI DEDI MULYADI, ... https://t.co/xpGcTiGmzP lewat @YouTube",None
80,2022-12-09 08:05:03+00:00,BMendut,"DEDI MULYADI DIJODOHKAN DENGAN BUPATI KARAWANG, ANNE RATNA MUSTIKA UNGGA... https://t.co/4uwQMuGKbQ lewat @YouTube",None
81,2022-12-09 08:04:00+00:00,BMendut,NASEHAT DEDI MULYADI PADA RYAN DONO YANG GAGAL MENIKAH DENGAN YESSY SERT... https://t.co/xNZfjo0je9 lewat @YouTube,None
82,2022-12-09 07:44:21+00:00,info_daratan,Dedi Mulyadi tiba-tiba berbelok arah menuju Rumah Sakit Hasan Sadikin Bandung. #GolkarSolid https://t.co/i4Ib7ZGEQL,None
